data,leitos ocupados (uti+geral),leitos totais (uti+geral),uti ocupadas,utis totais,,
2020-05-11,,,180,227,,
2020-05-12,,,186,252,,
2020-05-13,,,205,256,,
2020-05-14,,,183,256,,
2020-05-15,,,211,259,,
2020-05-16,,,221,262,,
2020-05-17,,,218,263,,
2020-05-18,,,228,268,,
2020-05-19,,,243,272,,
2020-05-20,,,234,292,,
2020-05-21,,,247,316,,
2020-05-22,,,286,341,,
2020-05-23,,,307,338,,
2020-05-24,,,244,355,,
2020-05-25,,,328,374,,
2020-05-26,,,328,414,,
2020-05-27,,,345,454,,
2020-05-28,,,347,450,,
2020-05-29,,,366,470,,
2020-05-30,,,366,502,,
2020-05-31,,,363,506,,
2020-06-01,,,375,526,,
2020-06-02,,,378,526,,
2020-06-03,,,381,526,,
2020-06-04,,,388,526,,
2020-06-05,,,396,526,,
2020-06-06,,,383,526,,
2020-06-07,,,387,526,,
2020-06-08,,,395,536,,
2020-06-09,,,431,530,,
2020-06-10,,,414,532,,
2020-06-11,,,444,541,,
2020-06-12,,,440,543,,
2020-06-13,,,451,558,,
2020-06-14,,,468,558,,
2020-06-15,,,452,558,,
2020-06-16,,,434,558,,
2020-06-17,,,434,558,,
2020-06-18,,,449,558,,
2020-06-19,,,458,568,,
2020-06-20,,,463,581,,
2020-06-21,,,474,581,,
2020-06-22,,,465,581,,
2020-06-23,,,473,581,,
2020-06-24,,,484,581,,
2020-06-25,,,477,581,,
2020-06-26,,,468,581,,
2020-06-27,,,482,581,,
2020-06-28,,,489,581,,
2020-06-29,,,481,589,,
2020-06-30,,,494,589,,
2020-07-01,,,496,589,,
2020-07-02,,,493,589,,
2020-07-03,,,490,594,,
2020-07-04,,,503,596,,
2020-07-05,,,493,596,,
2020-07-06,,,497,606,,
2020-07-07,,,502,611,,
2020-07-08,,,487,607,,
2020-07-09,,,493,607,,
2020-07-10,,,478,607,,
2020-07-11,,,480,607,,
2020-07-12,,,492,607,,
2020-07-13,,,476,607,,
2020-07-14,,,472,611,,
2020-07-15,,,473,611,,
2020-07-16,,,474,611,,
2020-07-17,,,475,611,,
2020-07-18,,,479,631,,
2020-07-19,,,486,647,,
2020-07-20,,,484,647,,
2020-07-21,,,479,647,,
2020-07-22,,,484,657,,
2020-07-23,,,490,667,,
2020-07-24,,,474,667,,
2020-07-25,,,483,667,,
2020-07-26,,,483,667,,
2020-07-27,,,476,667,,
